epoch,disc_day_loss,disc_night_loss,gen_D2N_loss,gen_N2D_loss
128,-0.00947997,-0.119685665,"""[20.444447, 20.438295]""","""[15.659275, 15.646231]"""
129,1.074816346,0.070117421,"""[18.065826, 18.06674]""","""[24.485867, 24.468218]"""
130,0.120178595,0.059290916,"""[21.383707, 21.37937]""","""[21.501099, 21.514868]"""
131,-0.006570118,0.007010179,"""[18.733488, 18.711954]""","""[14.065338, 14.066738]"""
132,0.084719807,0.022986786,"""[18.277327, 18.275442]""","""[15.730842, 15.732638]"""
133,0.055218622,-0.054959059,"""[18.7806, 18.78475]""","""[16.934887, 16.953468]"""
134,0.133173108,2.205117464,"""[16.87239, 16.870325]""","""[18.151566, 18.156435]"""
135,0.110626034,-0.051926989,"""[18.415524, 18.394585]""","""[16.46559, 16.4555]"""
136,0.031601951,0.000233226,"""[20.73749, 20.729883]""","""[19.668941, 19.678265]"""
137,0.028707497,0.090177231,"""[19.74516, 19.738064]""","""[15.301649, 15.30352]"""
138,0.039247382,-0.023617577,"""[18.910036, 18.9175]""","""[16.33032, 16.332445]"""
139,0.080108792,0.028178113,"""[18.447432, 18.457655]""","""[20.039537, 20.024405]"""
140,0.024102345,-0.031777911,"""[18.326765, 18.334976]""","""[15.971462, 15.962373]"""
141,0.011784077,-0.064246751,"""[21.722271, 21.72093]""","""[14.40971, 14.424855]"""
142,0.051777005,-0.028970292,"""[20.61247, 20.613163]""","""[14.70483, 14.724516]"""
143,0.363124847,-0.022661719,"""[15.587527, 15.596267]""","""[20.125359, 20.111647]"""
